trade_id,broker,symbol,trade_type,trade_date,qty,gross_rate,comm,cdc_amt,lsn,sst,net_amount,reason
AKD-001,AKD,PSO,buy,4/25/2025,50,361,27.08,0.25,0,4.06,18081.39,
AKD-002,AKD,LUCK,buy,4/28/2025,60,377.8583,34.01,0.3,0,5.1,22710.91,
AKD-003,AKD,PSO,sell,4/28/2025,50,364.75,27.36,0.25,0,4.1,18205.79,
AKD-004,AKD,QUICE,buy,9/8/2025,100,8.76,5,0.5,0,0.75,882.25,
AKD-005,AKD,QUICE,buy,9/15/2025,100,8.7,5,0.5,0,0.75,876.25,
AKD-006,AKD,LUCK,sell,10/6/2025,60,471,42.39,0.3,0,6.36,28210.95,
AKD-007,AKD,QUICE,sell,10/6/2025,200,8.72,10,1,0,1.5,1730.5,
AKD-008,AKD,LUCK,buy,10/13/2025,10,438,6.57,0.05,0,0.99,4387.61,
AKD-009,AKD,MTL,buy,10/16/2025,4,528.4,3.17,0.02,0,0.48,2117.27,
AKD-010,AKD,MTL,sell,1/7/2026,4,533.12,3.2,0.02,0,0.48,2128.78,
AKD-011,AKD,PIBTL,buy,1/13/2026,50,20.12,2.5,0.25,0,0.38,1009.13,
AKD-012,AKD,PIBTL,sell,2/24/2026,50,17.6,2.5,0.25,0,0.38,876.88,
AKD-013,AKD,KEL,buy,3/3/2026,135,6.99,6.75,0.68,0,1.01,952.09,
AKD-014,AKD,KEL,sell,3/19/2026,135,7.5,6.75,0.68,0,1.01,1004.06,
AKD-015,AKD,LUCK,sell,3/19/2026,10,351.01,5.27,0.05,0,0.79,3504,
AKD-016,AKD,LUCK,buy,3/25/2026,10,369.99,5.55,0.05,0,0.83,3706.33,
AKD-017,AKD,LUCK,buy,4/1/2026,3,392.2,1.76,0.02,0,0.26,1178.64,
AKD-018,AKD,KEL,buy,4/6/2026,100,7.06,5,0.5,0,0.75,712.25,
AKD-019,AKD,KEL,sell,4/17/2026,50,8.13,2.5,0.25,0,0.38,403.38,
AKD-020,AKD,CLOV,buy,4/24/2026,70,8.12,3.5,0.35,0,0.53,572.78,
AKD-021,AKD,CLOV,buy,4/27/2026,90,8.6,4.5,0.45,0,0.68,779.63,
MRA-001,MRA,NATF,buy,3/4/2026,15,362.0093,0,0,0,0,0,
MRA-002,MRA,NATF,sell,3/24/2026,20,342.109,0,0,0,0,0,
MRA-003,MRA,NATF,buy,3/25/2026,15,345.312,0,0,0,0,0,
MRA-004,MRA,OGDC,buy,3/25/2026,15,280.9913,0,0,0,0,0,
MRA-005,MRA,SYS,buy,3/25/2026,15,131.338,0,0,0,0,0,
MRA-006,MRA,SYS,buy,3/26/2026,15,141.0967,0,0,0,0,0,
MRA-007,MRA,OGDC,buy,3/27/2026,5,277.016,0,0,0,0,0,
MRA-008,MRA,ISL,buy,4/1/2026,4,73.1,0.44,0.01,0.02,0.07,0,
MRA-009,MRA,ISL,buy,4/1/2026,4,72.9,0.44,0.01,0.02,0.07,0,
MRA-010,MRA,NATF,buy,4/1/2026,10,347,5.21,0.17,0.3,0.81,0,
MRA-011,MRA,OGDC,buy,4/1/2026,10,280,4.2,0.14,0.25,0.65,0,
MRA-012,MRA,SYS,buy,4/1/2026,10,143.5,2.15,0.07,0.13,0.33,0,
MRA-013,MRA,NATF,sell,6/11/2026,25,358.5,13.44,0.45,0.78,2.08,8940.71,dropped from Shariah-compliant list
MRA-014,MRA,FFC,buy,6/16/2026,8,566.94,6.8,0.23,0.4,1.06,0,
AKD-022,AKD,LUCK,buy,7/3/2026,4,483.99,2.9,0.02,0,0.44,1939.32,
AKD-023,AKD,KEL,buy,7/3/2026,15,8.39,0.75,0.08,0,0.11,126.79,
MRA-015,MRA,FFC,buy,7/3/2026,8,572.6,6.87,0.23,0.4,1.07,4594.38,
MRA-016,MRA,SEARL,buy,7/3/2026,10,96.5,1.45,0.05,0.09,0.22,971.81,
MRA-017,MRA,FFC,buy,7/3/2026,12,578.43,10.41,0.35,0.61,1.61,6959.17,
